"stateID","state","Indicator","Type","Estimate","X95..LCL","X95..UCL"
7,"Al-Gadarif","Education : Access to preschool education - ALL children","Proportion",52.84,38.54,67.15
7,"Al-Gadarif","Education : Access to basic education - ALL children","Proportion",80.82,70.15,91.49
7,"Al-Gadarif","Education : Access to education (preschool or basic) - ALL children","Proportion",72.03,61.4,82.66
7,"Al-Gadarif","Education : Access to preschool education - MALES","Proportion",52.87,36,69.73
7,"Al-Gadarif","Education : Access to basic education - MALES","Proportion",81.03,68.79,93.27
7,"Al-Gadarif","Education : Access to education (preschool or basic) - MALES","Proportion",72.12,61.08,83.16
7,"Al-Gadarif","Education : Access to preschool education - FEMALES","Proportion",52.64,36.9,68.37
7,"Al-Gadarif","Education : Access to basic education - FEMALES","Proportion",81.25,69.67,92.82
7,"Al-Gadarif","Education : Access to education (preschool or basic) - FEMALES","Proportion",71.86,60.64,83.08
4,"Al-Gazeera","Education : Access to preschool education - ALL children","Proportion",72.53,57.72,87.35
4,"Al-Gazeera","Education : Access to basic education - ALL children","Proportion",90.85,84.18,97.52
4,"Al-Gazeera","Education : Access to education (preschool or basic) - ALL children","Proportion",85.8,77.2,94.41
4,"Al-Gazeera","Education : Access to preschool education - MALES","Proportion",71.13,55.11,87.15
4,"Al-Gazeera","Education : Access to basic education - MALES","Proportion",91.54,85.45,97.64
4,"Al-Gazeera","Education : Access to education (preschool or basic) - MALES","Proportion",86.4,78.59,94.21
4,"Al-Gazeera","Education : Access to preschool education - FEMALES","Proportion",74.18,58.55,89.82
4,"Al-Gazeera","Education : Access to basic education - FEMALES","Proportion",89.97,82.03,97.91
4,"Al-Gazeera","Education : Access to education (preschool or basic) - FEMALES","Proportion",85.12,76.07,94.17
9,"Blue Nile","Education : Access to preschool education - ALL children","Proportion",45.66,33.64,57.68
9,"Blue Nile","Education : Access to basic education - ALL children","Proportion",71.74,59.77,83.7
9,"Blue Nile","Education : Access to education (preschool or basic) - ALL children","Proportion",63.32,53.72,72.92
9,"Blue Nile","Education : Access to preschool education - MALES","Proportion",46.24,31.22,61.27
9,"Blue Nile","Education : Access to basic education - MALES","Proportion",73.86,61.71,86.01
9,"Blue Nile","Education : Access to education (preschool or basic) - MALES","Proportion",65.57,54.78,76.36
9,"Blue Nile","Education : Access to preschool education - FEMALES","Proportion",45.26,32.19,58.33
9,"Blue Nile","Education : Access to basic education - FEMALES","Proportion",69.17,55.49,82.85
9,"Blue Nile","Education : Access to education (preschool or basic) - FEMALES","Proportion",61.41,49.82,73.01
16,"Central Darfur","Education : Access to preschool education - ALL children","Proportion",25.33,7.89,42.78
16,"Central Darfur","Education : Access to basic education - ALL children","Proportion",62.08,45.07,79.1
16,"Central Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",49.14,34.02,64.26
16,"Central Darfur","Education : Access to preschool education - MALES","Proportion",24.28,4.65,43.9
16,"Central Darfur","Education : Access to basic education - MALES","Proportion",64.26,46.49,82.03
16,"Central Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",49.65,33.49,65.81
16,"Central Darfur","Education : Access to preschool education - FEMALES","Proportion",25.93,8.06,43.8
16,"Central Darfur","Education : Access to basic education - FEMALES","Proportion",58.58,40.14,77.02
16,"Central Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",47.53,32.56,62.51
17,"East Darfur","Education : Access to preschool education - ALL children","Proportion",32.42,20.5,44.35
17,"East Darfur","Education : Access to basic education - ALL children","Proportion",62.34,50.79,73.89
17,"East Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",51.91,43,60.82
17,"East Darfur","Education : Access to preschool education - MALES","Proportion",33.21,19.86,46.56
17,"East Darfur","Education : Access to basic education - MALES","Proportion",65.43,39.96,90.9
17,"East Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",53.54,43.91,63.18
17,"East Darfur","Education : Access to preschool education - FEMALES","Proportion",31.55,18.64,44.46
17,"East Darfur","Education : Access to basic education - FEMALES","Proportion",58.92,44.85,73
17,"East Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",49.83,39.43,60.23
6,"Kassala","Education : Access to preschool education - ALL children","Proportion",34,22.2,45.8
6,"Kassala","Education : Access to basic education - ALL children","Proportion",70,58.97,81.02
6,"Kassala","Education : Access to education (preschool or basic) - ALL children","Proportion",59.76,49.56,69.95
6,"Kassala","Education : Access to preschool education - MALES","Proportion",33.82,18.96,48.68
6,"Kassala","Education : Access to basic education - MALES","Proportion",79.58,69.15,90.01
6,"Kassala","Education : Access to education (preschool or basic) - MALES","Proportion",66.33,55.97,76.7
6,"Kassala","Education : Access to preschool education - FEMALES","Proportion",33.92,20.45,47.38
6,"Kassala","Education : Access to basic education - FEMALES","Proportion",59.65,45.12,74.17
6,"Kassala","Education : Access to education (preschool or basic) - FEMALES","Proportion",52.17,39.72,64.62
3,"Khartoum","Education : Access to preschool education - ALL children","Proportion",78.55,66.3,90.8
3,"Khartoum","Education : Access to basic education - ALL children","Proportion",95.7,91.35,99.99
3,"Khartoum","Education : Access to education (preschool or basic) - ALL children","Proportion",90.54,84.71,96.36
3,"Khartoum","Education : Access to preschool education - MALES","Proportion",78.55,64.32,92.78
3,"Khartoum","Education : Access to basic education - MALES","Proportion",95.15,89.7,99.99
3,"Khartoum","Education : Access to education (preschool or basic) - MALES","Proportion",90.48,84.29,96.67
3,"Khartoum","Education : Access to preschool education - FEMALES","Proportion",79.03,65.4,92.65
3,"Khartoum","Education : Access to basic education - FEMALES","Proportion",96.34,92.16,99.99
3,"Khartoum","Education : Access to education (preschool or basic) - FEMALES","Proportion",90.88,84.57,97.19
14,"North Darfur","Education : Access to preschool education - ALL children","Proportion",44.79,27.52,62.07
14,"North Darfur","Education : Access to basic education - ALL children","Proportion",75.17,63.56,86.77
14,"North Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",64.55,53.52,75.58
14,"North Darfur","Education : Access to preschool education - MALES","Proportion",44.27,27.25,61.29
14,"North Darfur","Education : Access to basic education - MALES","Proportion",75.78,64.45,87.12
14,"North Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",64.07,53.18,74.95
14,"North Darfur","Education : Access to preschool education - FEMALES","Proportion",44.86,26.83,62.89
14,"North Darfur","Education : Access to basic education - FEMALES","Proportion",74,60.9,87.11
14,"North Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",64.56,52.43,76.69
11,"North Kourdofan","Education : Access to preschool education - ALL children","Proportion",31.58,20.33,42.83
11,"North Kourdofan","Education : Access to basic education - ALL children","Proportion",76.85,68.47,85.23
11,"North Kourdofan","Education : Access to education (preschool or basic) - ALL children","Proportion",64.43,56.27,72.59
11,"North Kourdofan","Education : Access to preschool education - MALES","Proportion",29.55,17.44,41.66
11,"North Kourdofan","Education : Access to basic education - MALES","Proportion",78.47,69.34,87.59
11,"North Kourdofan","Education : Access to education (preschool or basic) - MALES","Proportion",65.53,57.03,74.04
11,"North Kourdofan","Education : Access to preschool education - FEMALES","Proportion",33.19,19.54,46.83
11,"North Kourdofan","Education : Access to basic education - FEMALES","Proportion",75.19,65.69,84.68
11,"North Kourdofan","Education : Access to education (preschool or basic) - FEMALES","Proportion",63.72,54.6,72.83
1,"Northern","Education : Access to preschool education - ALL children","Proportion",82.91,72.06,93.76
1,"Northern","Education : Access to basic education - ALL children","Proportion",96.28,92.06,99.99
1,"Northern","Education : Access to education (preschool or basic) - ALL children","Proportion",91.62,85.63,97.62
1,"Northern","Education : Access to preschool education - MALES","Proportion",82.74,69.41,96.07
1,"Northern","Education : Access to basic education - MALES","Proportion",96.55,92.11,99.99
1,"Northern","Education : Access to education (preschool or basic) - MALES","Proportion",91.61,85.15,98.06
1,"Northern","Education : Access to preschool education - FEMALES","Proportion",83.41,70.05,96.77
1,"Northern","Education : Access to basic education - FEMALES","Proportion",96.25,91.08,99.99
1,"Northern","Education : Access to education (preschool or basic) - FEMALES","Proportion",91.84,85.08,98.59
5,"Red Sea","Education : Access to preschool education - ALL children","Proportion",38.52,20.88,56.15
5,"Red Sea","Education : Access to basic education - ALL children","Proportion",81.37,64.14,98.6
5,"Red Sea","Education : Access to education (preschool or basic) - ALL children","Proportion",65.96,49.48,82.43
5,"Red Sea","Education : Access to preschool education - MALES","Proportion",40.45,17.97,62.94
5,"Red Sea","Education : Access to basic education - MALES","Proportion",79.95,59.88,99.99
5,"Red Sea","Education : Access to education (preschool or basic) - MALES","Proportion",65.57,48.11,83.03
5,"Red Sea","Education : Access to preschool education - FEMALES","Proportion",36.98,17.14,56.82
5,"Red Sea","Education : Access to basic education - FEMALES","Proportion",83.04,64.71,99.99
5,"Red Sea","Education : Access to education (preschool or basic) - FEMALES","Proportion",66.29,47.73,84.84
2,"River Nile","Education : Access to preschool education - ALL children","Proportion",72.41,60.05,84.78
2,"River Nile","Education : Access to basic education - ALL children","Proportion",89.51,82.4,96.63
2,"River Nile","Education : Access to education (preschool or basic) - ALL children","Proportion",84.32,75.27,93.37
2,"River Nile","Education : Access to preschool education - MALES","Proportion",72.51,57.59,87.43
2,"River Nile","Education : Access to basic education - MALES","Proportion",88.47,79.38,97.56
2,"River Nile","Education : Access to education (preschool or basic) - MALES","Proportion",83.66,75.09,92.23
2,"River Nile","Education : Access to preschool education - FEMALES","Proportion",72.43,57.14,87.73
2,"River Nile","Education : Access to basic education - FEMALES","Proportion",90.8,83.27,98.33
2,"River Nile","Education : Access to education (preschool or basic) - FEMALES","Proportion",85.13,75.79,94.47
8,"Sinar","Education : Access to preschool education - ALL children","Proportion",63.55,51.39,75.72
8,"Sinar","Education : Access to basic education - ALL children","Proportion",80.68,69.88,91.48
8,"Sinar","Education : Access to education (preschool or basic) - ALL children","Proportion",75.24,65.15,85.34
8,"Sinar","Education : Access to preschool education - MALES","Proportion",62.86,48.62,77.1
8,"Sinar","Education : Access to basic education - MALES","Proportion",80.36,69.12,91.6
8,"Sinar","Education : Access to education (preschool or basic) - MALES","Proportion",75.03,64.9,85.16
8,"Sinar","Education : Access to preschool education - FEMALES","Proportion",64.81,50.15,79.47
8,"Sinar","Education : Access to basic education - FEMALES","Proportion",81.07,69.23,92.9
8,"Sinar","Education : Access to education (preschool or basic) - FEMALES","Proportion",75.75,64.38,87.12
15,"South Darfur","Education : Access to preschool education - ALL children","Proportion",39.09,25.59,52.59
15,"South Darfur","Education : Access to basic education - ALL children","Proportion",68.81,56.73,80.89
15,"South Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",60.32,48.41,72.22
15,"South Darfur","Education : Access to preschool education - MALES","Proportion",38.38,22.81,53.94
15,"South Darfur","Education : Access to basic education - MALES","Proportion",70.62,57.92,83.31
15,"South Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",61.85,49.64,74.06
15,"South Darfur","Education : Access to preschool education - FEMALES","Proportion",39.02,23.28,54.75
15,"South Darfur","Education : Access to basic education - FEMALES","Proportion",66.43,50.47,82.39
15,"South Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",58.82,45.13,72.5
12,"South Kourdofan","Education : Access to preschool education - ALL children","Proportion",37.55,23.4,51.7
12,"South Kourdofan","Education : Access to basic education - ALL children","Proportion",68.53,54.96,82.1
12,"South Kourdofan","Education : Access to education (preschool or basic) - ALL children","Proportion",59.68,46.74,72.62
12,"South Kourdofan","Education : Access to preschool education - MALES","Proportion",36.39,18.3,54.49
12,"South Kourdofan","Education : Access to basic education - MALES","Proportion",71.44,58.43,84.45
12,"South Kourdofan","Education : Access to education (preschool or basic) - MALES","Proportion",61.51,48.57,74.46
12,"South Kourdofan","Education : Access to preschool education - FEMALES","Proportion",38.97,22.19,55.74
12,"South Kourdofan","Education : Access to basic education - FEMALES","Proportion",65.35,50.65,80.05
12,"South Kourdofan","Education : Access to education (preschool or basic) - FEMALES","Proportion",57.94,44.24,71.63
18,"West Darfur","Education : Access to preschool education - ALL children","Proportion",22.41,12.95,31.87
18,"West Darfur","Education : Access to basic education - ALL children","Proportion",66.02,52.9,79.13
18,"West Darfur","Education : Access to education (preschool or basic) - ALL children","Proportion",50.71,40.49,60.92
18,"West Darfur","Education : Access to preschool education - MALES","Proportion",22.57,11.86,33.28
18,"West Darfur","Education : Access to basic education - MALES","Proportion",69.72,56.16,83.29
18,"West Darfur","Education : Access to education (preschool or basic) - MALES","Proportion",53.09,42.48,63.7
18,"West Darfur","Education : Access to preschool education - FEMALES","Proportion",21.15,10.78,31.51
18,"West Darfur","Education : Access to basic education - FEMALES","Proportion",62.7,47.69,77.71
18,"West Darfur","Education : Access to education (preschool or basic) - FEMALES","Proportion",48.47,37.62,59.32
13,"West Kourdofan","Education : Access to preschool education - ALL children","Proportion",36.55,22.95,50.16
13,"West Kourdofan","Education : Access to basic education - ALL children","Proportion",74.86,62.46,87.26
13,"West Kourdofan","Education : Access to education (preschool or basic) - ALL children","Proportion",61.79,50.3,73.28
13,"West Kourdofan","Education : Access to preschool education - MALES","Proportion",35.46,20.11,50.81
13,"West Kourdofan","Education : Access to basic education - MALES","Proportion",77.19,65.1,89.27
13,"West Kourdofan","Education : Access to education (preschool or basic) - MALES","Proportion",63.21,51.04,75.39
13,"West Kourdofan","Education : Access to preschool education - FEMALES","Proportion",37.72,21.4,54.04
13,"West Kourdofan","Education : Access to basic education - FEMALES","Proportion",72.69,59.26,86.11
13,"West Kourdofan","Education : Access to education (preschool or basic) - FEMALES","Proportion",60.51,47.57,73.45
10,"White Nile","Education : Access to preschool education - ALL children","Proportion",57.9,45.47,70.34
10,"White Nile","Education : Access to basic education - ALL children","Proportion",84.76,74.57,94.95
10,"White Nile","Education : Access to education (preschool or basic) - ALL children","Proportion",76.21,66.48,85.94
10,"White Nile","Education : Access to preschool education - MALES","Proportion",53.72,39.12,68.33
10,"White Nile","Education : Access to basic education - MALES","Proportion",83.58,73.4,93.76
10,"White Nile","Education : Access to education (preschool or basic) - MALES","Proportion",74.51,64.51,84.51
10,"White Nile","Education : Access to preschool education - FEMALES","Proportion",61.9,47.25,76.55
10,"White Nile","Education : Access to basic education - FEMALES","Proportion",85.91,74.54,97.28
10,"White Nile","Education : Access to education (preschool or basic) - FEMALES","Proportion",78.51,67.84,89.18
